Id,IsActive,IsDeleted,CreatedOn,LastModifiedOn,DeletedOn,ArtistId,StageName,SpotifyUrl,Biography,CityOfOrigin,CountryOfOrigin,CurrentLocation,ExperienceLevel,YearsOfExperience,HasRecordLabel,RecordLabelId,HasAgent,AgentId,HasManager,ManagerId,IsResidentDJ,ResidentLocation,HourlyRate,SelectedCountries,ExtraInformation,CurrencyId,HourlyFeeRange,EquipmentUsed,EquipmentRequired,TechnicalRider,Rider,OtherRequirements,ManagementAgent
98,t,f,2025-11-03 11:54:23.023283+00,2025-11-03 11:54:23.023283+00,,131,Bjørnson,,"Evolution has seemingly implanted an incredibly deep passion and authentic fervor for techno in every cell of BJØRNSON's body and soul. This profound connection isn't just audible in his powerful and pulsating productions but is also palpable during his performances - his sets catapult listeners into a uniquely different world, offering a metaphysical experience that is truly unparalleled.
Based in Stuttgart, this DJ and producer has honed his talent for peaktime techno sound over the past decade. Without a doubt, he is swiftly emerging as one of the standout names among a fresh surge of underground stars.
With an expanding discography of quality cuts and numerous performances alongside electronic music's elite, Bjørnson's global recognition is not only imminent but well-deserved. His exclusive sets for MIXMAG and Transmission's New York radio show have not only reached a global audience but continue to make waves.

His productions and remixes can now be found on essential labels such as KD raw, Tregambe, Hypnostate and Memoro. Regularly supported and featured in the Drumcode Radio Show, as well as played live in clubs by acts like Richie Hawtin, Joris Voorn, Alex Stein, and Marco Faraone.
Recognized as one of the National Breakthrough Artists by FAZEmag in 2024 and spotlighted by international media heavyweights like MIXMAG, his passion for Techno continues to take root and is resonating around the world…",Stuttgart,328,Stuttgart,,10,t,Memoro | KD Raw | Hypnostate | Tregambe,t,Eric (Tragedie Agency),t,Eric (Tragedie Agency),t,"Fridas Pier, Stuttgart | Tanzhaus West, Frankfurt",,,,2,300,"4x Pioneer CDJ-3000
1x Pioneer DJM-V10 Mixer / Pioneer DJM-900NXS2 / Pioneer DJM-A9 / Allen&Heath Zone 96 / Allen&Heath XONE 92
","Pioneer CDJ-3000 (x2 minimum)
Pioneer DJM-V10 Mixer / Pioneer DJM-900NXS2 / Pioneer DJM-A9 / Allen&Heath Zone 96 / Allen&Heath XONE 92
booth monitors
Proper booth lighting and ventilation","4x Pioneer CDJ-3000
1x Pioneer DJM-V10 Mixer / Pioneer DJM-900NXS2 / Pioneer DJM-A9 / Allen&Heath Zone 96 / Allen&Heath XONE 92 Booth monitor with independent volume control
Soundcheck 1 hour before performance (if possible)
Minimum 2 power sockets near DJ booth","Hotel (minimum 4★)
Local airport/train transfers
Transfer to the venue / Transfer to the Hotel
4x still water
2x energy drinks or juices
Local Beer
Light snacks
+2 guest passes","Performance duration: 90 min – 3 h  
Available for club, warehouse & festival bookings (EU)  
Open to back-to-back sets / label showcases  ",Booking Agent: Eric - booking@itsallatragedie.com
101,t,f,2025-11-03 13:55:41.19295+00,2025-11-03 13:55:41.192951+00,,134,Steve Jerayno,,"Steve Jerayno is a Dutch DJ and producer with a deep passion for house and Latin-inflected beats. Hailing from Wassenaar, he draws on vibrant club culture and diverse rhythms to deliver energetic sets that combine Latin House, Afro House, Tribal House and Tech House influences. With experience across national venues and festivals, Steve’s performances are crafted to ignite dance-floors and create unforgettable party moments. ",Amsterdam,348,Amsterdam,,4,f,,f,,f,,f,,,,,0,,,,,,,
103,t,f,2025-11-03 16:30:09.378175+00,2025-11-03 16:30:09.378175+00,,136,Soroush Heidari,,"Former resident DJ/producer at Kyiv’s famed club HEAVEN and key team member of RAVE’ERA in SkyBar Kyiv, SOROUSH relocated to Amsterdam to continue his sonic journey.
He fuses melodic techno and techno into immersive sets, building on Eastern European club lineage while embracing the Dutch underground. Known for energetic performances in venues across Amsterdam and beyond.",Amsterdam,348,Amsterdam,,5,t,SpaceX Recordings,f,,f,,t,Heaven Club Amsterdam,,,,2,600,"- Pioneer CDJ-3000 or CDJ-2000NXS2
- Pioneer DJM-900NXS2 Mixer
- Rekordbox USB setup","- 2x Pioneer CDJ-3000 or 2000NXS2 players
- 1x Pioneer DJM-900NXS2 mixer
- 2x high-quality booth monitors with independent control
- Proper booth lighting and ventilation
- Funktion-One or equivalent sound system","- Soundcheck minimum 30 minutes before performance
- High-quality audio system, balanced XLR outputs
- Clean booth area with USB accessibility
- Independent booth monitor volume control
- Minimum 2x RCA/XLR cables for output
- 1x backup USB stick slot","- 4x bottles of still water
- 2x Red Bull or energy drink
- 2x guestlist passes
- 1x light snack / fruit plate
- Access to artist lounge or private changing area","- Artist requires at least 1-hour rest access before set time
- Return travel (if outside Amsterdam) by train or equivalent class
- Local accommodation (if playing after 01:00)",
104,t,f,2025-11-03 17:20:58.307385+00,2025-11-03 17:20:58.307385+00,,137,Mateo!,,"Hailing from Budapest, Mateo! brings a fresh voice to the European electronic scene. With a flair for blending melodic grooves with high-energy club anthems, Mateo! fuses his Eastern European roots with modern electronic sensibilities, delivering dynamic performances that resonate across both intimate venues and large scale events. Driven by a passion for weaving moods and movement into seamless sets, he is steadily shaping his identity as a go-to name in Hungary’s growing club circuit and beyond.",Budapest,333,Budapest,,10,f,,f,,f,,f,,,,,0,,,,,,,
105,t,f,2025-11-03 18:01:53.279534+00,2025-11-03 18:01:53.279534+00,,138,Daniella da Silva,,"Daniella da Silva is a fast-rising talent in the techno world. Born in South Africa and now based in Berlin, she has made a significant mark performing in clubs and festivals across Europe, India and South Africa. Her journey includes studying music production at Soul Candi in South Africa, and she brings high-octane, energy-filled sets that leave crowds awestruck. ",Barcelona,359,Barcelona,,7,f,,f,,f,,f,,,,,2,2000,"- Pioneer CDJ-3000 (or CDJ-2000NXS2)
- Pioneer DJM-900NXS2
- USB/Controller setup (Rekordbox)","- 2× Pioneer CDJ (3000 or 2000NXS2)
- 1× Pioneer DJM-900NXS2 mixer
- High-quality club sound system (Funktion-One/L-Acoustics or equivalent)
- Independent booth monitor volume","- Soundcheck at least 30 minutes before set
- USB stick or laptop plug-in ready
- Balanced XLR outputs for master and booth
- Booth height and ventilation required","- 4× bottles of still water
- 2× energy drinks
- Light snacks or fresh fruit
- 2× guestlist passes","- EU bookings preferred; travel and accommodation to be agreed if outside local region
- Local transfer from airport/train station to venue",
106,t,f,2025-11-03 19:47:11.244542+00,2025-11-03 19:47:11.244542+00,,139,Saskia Laval,,"This Amsterdam DJ/Producer started as classical pianist and finished her studies at the conservatorium and she found later her passion in the world of techno. She plays in the Netherlands and abroad, from clubs and festivals in Germany to Brasil and Colombia. As electronic music producer, she released her first EP ‘Orange Power’ for Finder records. After that, she focussed more on DJing and organizing events in Amsterdam and Berlin. This year, she finds more time for producing again. As DJ she is known for her fast, driving and energetic techno sets mixed with other (sub)genres. She prefers to align her mixes with the vibe of the moment. That is why she might mix industrial or hard techno with Brazilian funk, for example. Her beats trigger people to dance and the melodic elements trigger them to feel the direct connection with one inner self and the people around us. Music means to her: feeling free, dancing, connecting (with) people and having a good time.

",Amsterdam,348,Amsterdam,,10,f,,f,,f,,f,,,,,0,,,,,,,
109,t,f,2025-11-05 08:05:54.918286+00,2025-11-05 08:05:54.918287+00,,141,Gaya Carmeli,,"Gaya Carmeli is a rising techno DJ and producer based in Amsterdam, known for high-energy sets that blend acid, peak-time, and hard techno. Drawn to the city to reconnect with her Dutch roots, Gaya dove head-first into electronic music. She actively performs and releases music, steadily building a name through dedication and fierce dance-floor moments. ",Amsterdam,348,Amsterdam,,4,f,,f,,f,,f,,,,,2,120,2 × CDJ-2000NXS2 or CDJ-3000 + DJM-900NXS2 / Pioneer equivalent,"Standard DJ booth with stable table surface, 2 × CDJ-2000NXS2 or 3000, DJM-900NXS2 mixer, 2 × booth monitors",Booth monitors positioned at ear level left and right. No redlining on the mixer. Clean and stable table or riser for performance.,"1 bottle of still water, 2 drink tokens or non-alcoholic options. Quiet green room preferred but not required.",30 minutes soundcheck if possible. Access to stage before opening where possible.,Independent
110,t,f,2025-11-07 10:39:49.041311+00,2025-11-07 10:39:49.041311+00,,142,NOZZ,,NOZZ is an Argentinian DJ and producer based in Madrid with a high-voltage Rave Techno sound that blends hard techno power with rock attitude. His shows often feature live electric guitar which adds a raw edge and crowd-locking energy. Branded The Madboy and Master of Disaster he channels a peak-time feel that turns floors into full-throttle moments.,Madrid,359,Madrid,,2,f,,f,,f,,f,,,,,2,900,"4x Pioneer CDJ-3000
1x Pioneer DJM-A9 Mixer
Electric Guitar
Guitar Pedal (used as amplifier emulator with distortion/effects)
TS-to-TS 6.35mm output cable (connects pedal to mixer MIC input)","4 × Pioneer CDJ-3000
1 × Pioneer DJM-A9
Space on the table for the artist to stand while playing guitar and using the pedal
(This space must be free of cups, bottles or liquids)
Safe placement area for guitar when not being played (audience must not have access)
Support surface such as a table, riser, small ladder or similar to stand on during performance
1 × WHITE stage light directed at the artist for full show (both DJ + guitar moments)
For Boiler Room / close crowd formats: a clear perimeter around the artist (no one directly behind/around the table)
Guitar signal connection:
Guitar → Pedalboard → TS to TS 6.35mm cable → Mixer MIC input
(Artist controls volume from the mixer)
Pre-show soundcheck is required","Standing space on the DJ table must be clear of liquids or objects.
A secure safe location is required for the guitar when not in use.
A stable platform (table/ladder/riser) must be available for the artist to stand on.
A white spotlight should be directed at the artist for the full set.
For Boiler Room style or 360 setups, a no-crowd perimeter must be maintained to allow movement while DJing and playing guitar.
Guitar pedalboard connects to mixer MIC input using TS 6.35mm cable.
Mandatory soundcheck before the performance.","Still water bottles
4 × Sugar-Free Isotonic Drinks
(Aquarius Zero or Gatorade Zero)
3 × Sugar-Free Protein Bars
2 × Bananas
2 × Medium size towels",The artist may discuss alternate guitar connection setups with the promoter/engineer if necessary.,nozz@nossagency.uk
111,t,f,2025-11-07 12:13:15.165463+00,2025-11-07 12:13:15.165463+00,,143,WITHIN,,"WITHIN is a hard techno project based in Amsterdam focused on high BPM energy and cutting industrial soundscapes. Known for fast rhythmic intensity and raw rave pressure, WITHIN delivers sets that build tension, release chaos and hold the dancefloor without compromise. Driven by underground culture and built for warehouse environments, WITHIN pushes sonic boundaries to create a full-body experience.",Almere,348,Almere,,2,f,,f,,f,,f,,,,,0,,,,,,,
112,t,f,2025-11-07 12:57:25.690781+00,2025-11-07 12:57:25.690781+00,,144,inKKiss ,,"inKKiss is a Polish-born DJ and producer now based in the Netherlands, whose sonic identity spans dark, hypnotic techno through to raw hard‐rave energy.  Rooted in subterranean soundscapes, her sets fuse haunting melodic undertones with heavy distortion and relentless rhythm, making each performance a journey rather than a playlist. 

With a growing profile across Europe’s underground circuits, inKKiss is forging a path for hard-techno artists who refuse to compromise intensity for accessibility.",Almere Stad,348,Almere Stad,,2,f,,f,,f,,f,,,,,0,,,,,,,
113,t,f,2025-11-07 13:21:22.8486+00,2025-11-07 13:21:22.848601+00,,145,TØMBØ,,"Tombo (IT) is a dynamic and talented DJ and producer of hard techno music, hailing from Italy. His passion for electronic music has deep roots in the Italian underground, where he began his artistic journey. From the early days in the scene, Tombo has demonstrated an innate ability to create engaging sonic experiences that blend powerful rhythms and hypnotic atmospheres.

With a series of debut releases on notable labels such as The Acid Mind, Ganzer Takt, Rewasted and DSR digital Tombo has quickly gained a solid reputation in the hard techno music scene. His music transports the listener on an intense and captivating journey, reflecting his deep passion for underground electronic music.",Fondi,337,Fondi,,2,f,,f,,f,,f,,,,,2,600,"Pioneer CDJ setup + USB (Rekordbox), DJM mixer","Minimum setup:
- 2x Pioneer CDJ-2000NXS2 or CDJ-3000
- 1x Pioneer DJM-900NXS2 or DJM-A9 mixer
- 2x booth monitors with independent volume control
- Stable, elevated DJ booth with no liquids near equipment","Audio:
- FOH engineer or booth tech available at soundcheck
- Clean signal path from mixer to PA system
- Booth monitor output to be loud and clear with no clipping

Soundcheck:
- Minimum 10–15 minutes before the performance if possible

Stage:
- DJ booth must be stable and safe
- No drinks placed on CDJs or mixer surfaces
- Artist space must not be blocked by staff or crowd
","Backstage / hospitality minimum:
- Still water (4–6 bottles)
- 2 energy drinks or electrolyte drinks
- 2 protein/energy bars OR light snacks
- 1 clean towel","Travel and accommodation to be discussed based on distance.
If flight travel is required, promoter covers flights + local transport.
If more than 2-hour late-night return, safe hotel/accommodation required.",Independent
114,t,f,2025-11-07 13:37:50.24072+00,2025-11-07 13:37:50.24072+00,,146,V-TEC,,"V-TEC is a DJ and producer shaping the new wave of European hard techno. Based in Amsterdam and rooted in Lisbon culture his sound blends explosive energy with hypnotic tension pushing sets into full movement. 

As an active artist within scenes such as VERKNIPT NOWNOW Innergate and Komplex Lisbon he has built a reputation for fast percussive power with emotional high-pressure drops. His signature comes through in the balance between raw industrial drive and controlled melodic force always designed for peak floor impact.

With growing international attention and strong momentum across Europe V-TEC is establishing himself as one of the rising names in the next generation of high-intensity techno artists.
",Amsterdam,348,Amsterdam,,4,f,,f,,t,PROPER Management,f,,,,,2,400,"USB + Rekordbox
","Minimum setup:
- 2x Pioneer CDJ-2000NXS2 or CDJ-3000
- 1x Pioneer DJM-900NXS2 or DJM-A9 mixer
- 2x booth monitors with independent volume control
","Soundcheck recommended before event.

Audio:
- Booth monitors must be loud and clear with no distortion
- Balanced signal to PA system

Booth:
- Stable booth surface with no drinks placed on CDJs or mixer
- Cables and power must be secured and safe","- Still water (4–6 bottles)
- 2 isotonic or energy drinks
- Light snacks or fruit
- 1 medium clean towel
","Clear booth surface with no drinks or objects placed near gear. 
Booth and stage must be safe and stable with crowd at a respectful distance. 
Private backstage or quiet preparation space requested before and after set. 
Soundcheck preferred if schedule allows.
",PROPER Management
116,t,f,2025-11-08 15:55:08.635426+00,2025-11-08 15:55:08.635427+00,,148,Chris Drifter,,Chris Drifter is a Budapest based DJ and producer known for his deep hypnotic approach to Progressive House and Melodic Techno. Active since the early 2000s he has built a solid presence across European dance floors through his detailed mixing style and strong emotional storytelling. His releases appear on respected imprints across the progressive scene and his sets blend groove drive and atmosphere into long form journeys. Chris continues to expand his international reach bringing a refined underground sound rooted in European club culture.,Budapest,333,Budapest,,15,f,,f,,f,,f,,,,,2,1000,"Pioneer CDJ setup
Pioneer DJM mixer or Allen and Heath Xone 92","2 x Pioneer CDJ 2000 or CDJ 3000
1 x Pioneer DJM 900 or Allen and Heath Xone 92
Proper booth monitoring","Standard club booth setup with stable audio output
DJ table height suitable for standing performance
No unnecessary visual obstructions","2 bottles of still water
Basic refreshments backstage",Standard hospitality. Travel and accommodation for bookings outside Hungary.,Independent Artist
118,t,f,2025-11-10 08:40:31.658921+00,2025-11-10 08:40:31.658922+00,,150,DJ KR-Z,,"DJ KR-Z is a Netherlands based DJ shaping his sound through progressive house, trance and big room techno. His sets focus on building energy slowly then lifting the room with melodic tension and emotional release.

He has been performing at local events and private gatherings where his presence behind the decks comes from a genuine love for connecting with the crowd. KR-Z is now stepping into a new chapter, developing his profile and aiming toward club floors and festival stages.",Hilversum,348,Hilversum,,2,f,,f,,f,,f,,,,,2,200,CDJ setup + standard mixer,"CDJ 2000 NXS2 or CDJ 3000, DJM 900 NXS2 or DJM A9",None,None,None,Independent
