Id,IsActive,IsDeleted,CreatedOn,LastModifiedOn,DeletedOn,DateTimeStart,DateTimeEnd,EventType,PrimaryGenre,Description,CoverImageURL,TicketLink,AmountOfStages,AmountOfArtists,AdditionalInformation,PromotionalImagesURLs,PASystem,Turntable,CDJ,Mixer,Monitor,IsVisualsRequired,IsCancelled,EventId
18,t,f,2024-12-30 09:57:43.257+00,2024-12-30 09:57:43.257+00,,0001-01-01 00:00:00+00,0001-01-01 00:00:00+00,Concert,Techno,New Years Eve Party - techno.,,htpp:..sseeee,2,3,"New Years Eve Party Additional Information
",{},8,8,8,8,8,f,f,25
19,t,f,2024-12-31 10:08:08.349+00,2024-12-31 10:08:08.349+00,,0001-01-01 00:00:00+00,0001-01-01 00:00:00+00,Festival,Techno,Ultra South America,,test,2,2,Ultra South America,{},3,3,4,4,4,f,f,26
20,t,f,2024-12-31 12:22:00.46+00,2024-12-31 12:22:00.46+00,,0001-01-01 00:00:00+00,0001-01-01 00:00:00+00,Festival,Drum & Bass,Ultra North America,,test,3,2,Ultra North America,{},8,8,8,8,8,f,f,27
21,t,f,2025-01-02 09:16:42.486+00,2025-01-02 09:16:42.487+00,,0001-01-01 00:00:00+00,0001-01-01 00:00:00+00,Festival,Techno,South Africa,,test,1,2,South Africa,{},6,6,6,6,6,f,f,28
22,t,f,2025-01-02 09:41:00.871+00,2025-01-02 09:41:00.871+00,,0001-01-01 00:00:00+00,0001-01-01 00:00:00+00,Festival,Techno,USA,,test,1,1,USA,{},2,2,2,2,2,f,f,29
23,t,f,2025-01-02 11:21:21.453+00,2025-01-02 11:21:21.453+00,,0001-01-01 00:00:00+00,0001-01-01 00:00:00+00,Festival,Techno,South Africa,,test,1,2,fff,{},3,3,3,3,3,f,f,30
24,t,f,2025-01-03 09:04:54.283+00,2025-01-03 09:04:54.283+00,,0001-01-01 00:00:00+00,0001-01-01 00:00:00+00,Festival,Drum & Bass,USA,,USA,2,2,USA,{},3,2,32,2,22,f,f,31
25,t,f,2025-01-06 09:54:15.596+00,2025-01-06 09:54:15.596+00,,0001-01-01 00:00:00+00,0001-01-01 00:00:00+00,Festival,Techno,Kygo Concert that is Techno - no snacks allowed.,,gigevate.com,2,2,Kygo Concert,{},2,2,2,2,2,f,f,32
26,t,f,2025-01-06 16:43:32.423+00,2025-01-06 16:43:32.423+00,,0001-01-01 00:00:00+00,0001-01-01 00:00:00+00,Type 5,Genre 5,Test,,N/A,2,2,,{},Test,Test,Test,Test,Test,f,f,33
27,t,f,2025-01-13 12:46:19.684+00,2025-01-13 12:46:19.684+00,,0001-01-01 00:00:00+00,0001-01-01 00:00:00+00,Concert,Techno,adsa,,asdf,2,2,awd,{},a,a,a,a,a,f,f,34
28,t,f,2025-01-14 14:42:32.566+00,2025-01-14 14:42:32.566+00,,0001-01-01 00:00:00+00,0001-01-01 00:00:00+00,Festival,Techno,vcxvccvvcxvcx,,gigevate.com,2,2,3333,{},3,3,3,33,3,f,f,35
29,t,f,2025-01-17 14:40:01.526+00,2025-01-17 14:40:01.526+00,,0001-01-01 00:00:00+00,0001-01-01 00:00:00+00,Concert,Drum & Bass,a,,a,2,2,a,{},a,a,a,a,a,f,f,36
30,t,f,2025-01-17 14:41:24.592+00,2025-01-17 14:41:24.592+00,,0001-01-01 00:00:00+00,0001-01-01 00:00:00+00,Type 4,Genre 5,a,,a,2,5,a,{},a,a,a,a,a,f,f,37
31,t,f,2025-01-17 14:42:30.296+00,2025-01-17 14:42:30.296+00,,0001-01-01 00:00:00+00,0001-01-01 00:00:00+00,Type 6,Genre 5,a,,a,2,6,a,{},a,a,a,a,a,f,f,38
32,t,f,2025-01-17 16:06:23.806+00,2025-01-17 16:06:23.806+00,,0001-01-01 00:00:00+00,0001-01-01 00:00:00+00,Concert,Drum & Bass,Braai Week,,N/A,1,3,,{},None,None,None,None,None,f,f,48
33,t,f,2025-01-27 13:38:55.232+00,2025-01-27 13:38:55.232+00,,0001-01-01 00:00:00+00,0001-01-01 00:00:00+00,Type 6,Genre 5,a,,a,1,5,a,{},a,a,a,a,a,f,f,49
34,t,f,2025-01-29 07:58:02.101+00,2025-01-29 07:58:02.101+00,,0001-01-01 00:00:00+00,0001-01-01 00:00:00+00,Concert,Drum & Bass,Test,,Test,3,7,Test,{},Test,Test,Test,Test,Test,f,f,50
35,t,f,2025-01-30 09:51:20.922+00,2025-01-30 09:51:20.922+00,,0001-01-01 00:00:00+00,0001-01-01 00:00:00+00,Festival,Techno,Event Description,,Test,1,1,Add,{},a,a,a,a,a,f,f,51
36,t,f,2025-01-30 13:41:54.198+00,2025-01-30 13:41:54.198+00,,0001-01-01 00:00:00+00,0001-01-01 00:00:00+00,Festival,Techno,adcdcdcdcdcdcdcdcdcdcdcdc,,adcdcdcdcdccdc,2,3,aaaaaaaaaaaaa,{},a,a,a,a,a,f,f,52
37,t,f,2025-02-06 09:16:20.205+00,2025-02-06 09:16:20.205+00,,0001-01-01 00:00:00+00,0001-01-01 00:00:00+00,Festival,House,Quiz night at johns bar,,N/a,4,3,Quiz night ,{},N/A,N/A,N/A,N/A,N/A,f,f,53
38,t,f,2025-02-06 12:58:46.257+00,2025-02-06 12:58:46.257+00,,0001-01-01 00:00:00+00,0001-01-01 00:00:00+00,Festival,Techno,Event for demo purpose,,N/a,4,6,,{},N/A,N/a,N/A,N/A,N/A,f,f,54
39,t,f,2025-02-10 11:01:05.613+00,2025-02-10 11:01:05.613+00,,0001-01-01 00:00:00+00,0001-01-01 00:00:00+00,Festival,Drum & Bass,Some info on the cool event,,n/a,1,2,,{},none,none,none,none,none,f,f,55
40,t,f,2025-02-18 15:39:15.654+00,2025-02-18 15:39:15.654+00,,0001-01-01 00:00:00+00,0001-01-01 00:00:00+00,Festival,House,Wow!,,Link,4,4,Wow!,{},Test,Test,Test,Test,Test,f,f,56
41,t,f,2025-02-21 13:44:01.321+00,2025-02-21 13:44:01.321+00,,0001-01-01 00:00:00+00,0001-01-01 00:00:00+00,Type 6,Techno,"Cool event, please attend",,Link,1,6,This event will be really cool trust me,{},a,a,a,a,a,f,f,57
42,t,f,2025-02-24 08:23:18.904+00,2025-02-24 08:23:18.904+00,,0001-01-01 00:00:00+00,0001-01-01 00:00:00+00,Type 6,Genre 6,Test,,Link,1,1,Test,{},Test,Test,Test,Test,Test,f,f,58
43,t,f,2025-02-25 11:25:59.572+00,2025-02-25 11:25:59.572+00,,0001-01-01 00:00:00+00,0001-01-01 00:00:00+00,Festival,Techno,a,,Link,2,1,a,{},a,a,a,a,a,f,f,59
44,t,f,2025-02-26 12:11:54.761+00,2025-02-26 12:11:54.761+00,,0001-01-01 00:00:00+00,0001-01-01 00:00:00+00,Festival,Techno,a,,Link,1,1,a,{},a,a,a,a,a,f,f,60
45,t,f,2025-02-26 12:14:12.432+00,2025-02-26 12:14:12.432+00,,0001-01-01 00:00:00+00,0001-01-01 00:00:00+00,Festival,Techno,a,,Link,1,1,a,{},a,a,a,a,a,f,f,61
119,t,f,2025-06-09 10:47:15.61+00,2025-06-09 10:47:15.61+00,,0001-01-01 00:00:00+00,0001-01-01 00:00:00+00,Festival,,"Techno night with Teenage Mutants, Rooney Nasr and Yellow Space at Kastel.",,https://ra.co/events/1963332,8,4,"Techno night with Teenage Mutants, Rooney Nasr and Yellow Space at Kastel.",{},d'HERACLAS QUKKLAS,d'HERACLAS QUKKLAS,d'HERACLAS QUKKLAS,d'HERACLAS QUKKLAS,d'HERACLAS QUKKLAS,f,f,135
46,t,f,2025-03-04 12:15:14.895+00,2025-03-04 12:15:14.895+00,,0001-01-01 00:00:00+00,0001-01-01 00:00:00+00,Festival,Drum & Bass,"The 20th anniversary of Graz festival Elevate is set to welcome a Hyperdub showcase plus sets from CCL, mad miran and many more.",,https://ra.co/events/1790273,3,6,"In 2024, Elevate will celebrate its 20th festival edition and once again transform the city of Graz into a hotspot for contemporary festival culture from 28 February to 3 March.",{},Provided,Provided,Provided,Provided,Provided,f,f,62
47,t,f,2025-03-05 05:28:56.367+00,2025-03-05 05:28:56.367+00,,0001-01-01 00:00:00+00,0001-01-01 00:00:00+00,Festival,Techno,"
Graz festival Elevate brings together cutting edge music, art and political discourse.",,https://ra.co/events/1790273,2,3,,{},Provided,Provided,Provided,Provided,Provided,f,f,63
48,t,f,2025-03-05 06:15:33.946+00,2025-03-05 06:15:33.946+00,,0001-01-01 00:00:00+00,0001-01-01 00:00:00+00,Festival,Techno,"
Both musically and in terms of discourse, Elevate, which turns 15 this year, is one of the most provocative and inspiring festivals around. ",,https://ra.co/events/1790273,3,2,Prepare for rain,{},Provided,Provided,Provided,Provided,Provided,f,f,64
49,t,f,2025-03-05 10:32:34.287+00,2025-03-05 10:32:34.287+00,,0001-01-01 00:00:00+00,0001-01-01 00:00:00+00,Festival,Techno,Whatever,,https://www.awakenings.com/en/,3,4,Updated,{},Bose,BnO,pioneer,Pioneer,Bose,f,f,65
50,t,f,2025-03-06 07:50:47.313+00,2025-03-06 07:50:47.313+00,,0001-01-01 00:00:00+00,0001-01-01 00:00:00+00,Festival,Techno,Test Description,,a,4,4,Add Info,{},Test Description,Test Description,Test Description,Test Description,Test Description,f,f,66
51,t,f,2025-03-07 08:22:20.037+00,2025-03-07 08:22:20.037+00,,0001-01-01 00:00:00+00,0001-01-01 00:00:00+00,Concert,Drum & Bass,Cool event,,a,3,3,Something,{},Test,Test,Test,Test,Test,f,f,67
52,t,f,2025-03-07 08:26:59.41+00,2025-03-07 08:26:59.41+00,,0001-01-01 00:00:00+00,0001-01-01 00:00:00+00,Type 4,House,Test Description,,a,2,3,Hmmm,{},Test,Test,Test,Test,Test,f,f,68
53,t,f,2025-03-10 08:24:13.56+00,2025-03-10 08:24:13.56+00,,0001-01-01 00:00:00+00,0001-01-01 00:00:00+00,Festival,,Test,,Test,1,1,Test,{},Test,Test,Test,Test,Test,f,f,69
54,t,f,2025-03-10 12:12:57.022+00,2025-03-10 12:12:57.022+00,,0001-01-01 00:00:00+00,0001-01-01 00:00:00+00,Festival,,Test,,Test,1,1,Test,{},Test,Test,Test,Test,Test,f,f,70
55,t,f,2025-03-10 12:14:17.977+00,2025-03-10 12:14:17.977+00,,0001-01-01 00:00:00+00,0001-01-01 00:00:00+00,Concert,,Test,,Test,1,1,Test,{},Test,Test,Test,Test,Test,f,f,71
56,t,f,2025-03-12 11:18:30.662+00,2025-03-12 11:18:30.662+00,,0001-01-01 00:00:00+00,0001-01-01 00:00:00+00,Festival,,Test,,Test,1,1,Test,{},Test,Test,Test,Test,Test,f,f,72
57,t,f,2025-03-12 15:44:48.581+00,2025-03-12 15:44:48.581+00,,0001-01-01 00:00:00+00,0001-01-01 00:00:00+00,Concert,,Test,,Test,1,5,Test,{},Test,Test,Test,Test,Test,f,f,73
58,t,f,2025-03-13 11:16:40.356+00,2025-03-13 11:16:40.356+00,,0001-01-01 00:00:00+00,0001-01-01 00:00:00+00,Concert,,Test,,Test,1,5,Nothing,{},Test,Test,Test,Test,Test,f,f,74
59,t,f,2025-03-13 11:49:31.382+00,2025-03-13 11:49:31.382+00,,0001-01-01 00:00:00+00,0001-01-01 00:00:00+00,Concert,,Test,,Test,1,5,Test,{},Test,Test,Test,Test,Test,f,f,75
60,t,f,2025-03-13 13:17:41.396+00,2025-03-13 13:17:41.396+00,,0001-01-01 00:00:00+00,0001-01-01 00:00:00+00,Concert,,Test,,Test,1,5,Test,{},Test,Test,Test,Test,Test,f,f,76
61,t,f,2025-03-13 13:30:33.282+00,2025-03-13 13:30:33.282+00,,0001-01-01 00:00:00+00,0001-01-01 00:00:00+00,Concert,,Test,,Test,1,5,,{},Test,Test,Test,Test,Test,f,f,77
62,t,f,2025-03-13 13:35:54.048+00,2025-03-13 13:35:54.048+00,,0001-01-01 00:00:00+00,0001-01-01 00:00:00+00,Concert,,Test,,Test,1,5,,{},a,a,a,a,a,f,f,78
63,t,f,2025-03-13 13:41:06.005+00,2025-03-13 13:41:06.005+00,,0001-01-01 00:00:00+00,0001-01-01 00:00:00+00,Concert,,Test,,Test,1,5,,{},a,a,a,a,a,f,f,79
64,t,f,2025-03-13 15:36:43.061+00,2025-03-13 15:36:43.061+00,,0001-01-01 00:00:00+00,0001-01-01 00:00:00+00,Concert,,Test,,Test,1,5,Test,{},Test,Test,Test,Test,Test,f,f,80
65,t,f,2025-03-13 17:26:18.126+00,2025-03-13 17:26:18.127+00,,0001-01-01 00:00:00+00,0001-01-01 00:00:00+00,Concert,,Test,,Test,1,5,Test,{},Test,Test,Test,Test,Test,f,f,81
66,t,f,2025-03-13 17:33:44.875+00,2025-03-13 17:33:44.875+00,,0001-01-01 00:00:00+00,0001-01-01 00:00:00+00,Concert,,a,,Test,1,5,Test,{},a,a,a,a,a,f,f,82
67,t,f,2025-03-14 08:12:36.8+00,2025-03-14 08:12:36.8+00,,0001-01-01 00:00:00+00,0001-01-01 00:00:00+00,Concert,,Test,,Test,1,5,Test,{},Test,Test,Test,Test,Test,f,f,83
68,t,f,2025-03-14 08:50:09.508+00,2025-03-14 08:50:09.508+00,,0001-01-01 00:00:00+00,0001-01-01 00:00:00+00,Concert,,Test,,Test,1,5,Test,{},Test,Test,Test,Test,Test,f,f,84
69,t,f,2025-03-14 09:09:27.986+00,2025-03-14 09:09:27.986+00,,0001-01-01 00:00:00+00,0001-01-01 00:00:00+00,Concert,,Test,,Test,1,5,Test,{},Test,Test,Test,Test,Test,f,f,85
70,t,f,2025-03-14 09:54:12.064+00,2025-03-14 09:54:12.064+00,,0001-01-01 00:00:00+00,0001-01-01 00:00:00+00,Concert,,Test,,Test,1,5,Test,{},Test,Test,Test,Test,Test,f,f,86
74,t,f,2025-03-19 08:55:01.356+00,2025-03-19 08:55:01.356+00,,0001-01-01 00:00:00+00,0001-01-01 00:00:00+00,Temp,,"Ultra South Africa is Africa's largest electronic music festival and is part of Ultra Music Festival's worldwide expansion which has now spread to twenty countries.[1][2] Ultra South Africa is a single day event taking place in two cities (Johannesburg and Cape Town). Having debuted in 2014, Ultra South Africa is the third longest standing world editions of the festival behind Ultra Europe and Ultra Korea.[3] Ultra South Africa is a strictly 18 and over event.",,https://localhost:7102/create-event,1,3,https://localhost:7102/create-event,{},3,3,3,3,3,f,f,90
86,t,f,2025-04-09 11:14:10.255+00,2025-04-09 11:14:10.255+00,,0001-01-01 00:00:00+00,0001-01-01 00:00:00+00,Workshop,,"GIGEVATE LAUNCH PARTY: WELCOME TO THE FUTURE OF ELECTRONIC MUSIC

Step into the next chapter of electronic music as we celebrate the official launch of Gigevate. This is the platform built for the culture, created for the artists, the organisers and the fans who keep the scene alive.

Gigevate connects the entire ecosystem in one trusted space. Secure bookings, seamless payments, transparent communication and experience tracking that keeps you in control. It is time to launch the future, together.

Join us for an electrifying night filled with connection, energy and the heartbeat of our community.",,https://ra.co/events/nl/rotterdam,1,3,,{}, L-Acoustics A15 or Funktion-One EVO Series,Technics SL-1210 MK7,Pioneer CDJ-3000,Allen & Heath Xone:96 or Pioneer DJM-V10,Pioneer RM-07 or L-Acoustics X8,f,f,102
95,t,f,2025-06-03 15:20:17.83+00,2025-06-03 15:20:17.83+00,,0001-01-01 00:00:00+00,0001-01-01 00:00:00+00,Festival,,"You can now officially pre-register for ADE 2025, to gain early access to buy tickets for all events in Shelter, The Loft and Madam.",,https://ra.co/events/2029506,3,14,,{},L-Acoustics K2 Line Array (or equivalent)  Subwoofers: L-Acoustics SB28 or KS28,Technics SL-1210 MK7 (x2),Pioneer CDJ-3000 (x2 or x4),Pioneer DJM-V10 or DJM-900NXS2,Pioneer RM-07 (booth monitors) or L-Acoustics X15 HiQ stage monitors,f,f,111
96,t,f,2025-06-03 15:37:27.812+00,2025-06-03 15:37:27.812+00,,0001-01-01 00:00:00+00,0001-01-01 00:00:00+00,Festival,,"German DJ and producer Klangkuenstler is one of the leading names in the contemporary techno scene. His sound weaves old-school and modern tencho into a raw, intense whole; delivered with his signature lighting designs and grand LED installations. Expect an immersive journey through the history of techno, drawing from an extensive collection of tracks from the late 90s to the mid 10s.",,https://www.ticketmaster.nl/event/outworld-klangkuenstler-all-night-long-at-ziggo-dome-ade-2025-tickets/763151304?language=en-us,1,1,"German DJ and producer Klangkuenstler is one of the leading names in the contemporary techno scene. His sound weaves old-school and modern tencho into a raw, intense whole; delivered with his signature lighting designs and grand LED installations. Expect an immersive journey through the history of techno, drawing from an extensive collection of tracks from the late 90s to the mid 10s.
",{},L-Acoustics K2 Line Array with SB28 Subwoofers,Technics SL-1210 MK7 (x2),Pioneer CDJ-3000 (x4),Allen & Heath Xone:96,L-Acoustics X15 HiQ or Funktion-One PSM318,f,f,112
97,t,f,2025-06-03 15:48:55.961+00,2025-06-03 15:48:55.961+00,,0001-01-01 00:00:00+00,0001-01-01 00:00:00+00,Festival,,"
(A-Z)
CARISTA
D’MONK (LIVE)
ERROL
JADALAREIGN
SAMMSEED
WRONGSAL
+ SPECIAL GUEST

Two of Europe’s finest contemporary black-owned musical platforms — CARISTA’s United Identities (NL) and ERROL’s Touching Bass (UK) — link up for the first time at ADE 2024. Expect a full-blooded joyride equal parts gritty, unpredictable and soulful as the stars align at Radio Radio.

Beyond the founders, the roll call remains crazily good; from the sophisticated heat of NYC’s JADALAREIGN and Clone Records affiliate WRONGSAL to Touching Bass disciple SAMMSEED being joined by a much-loved, London-via-Amsterdam special guest (TBA) and longtime friend, as she tops off an impressive 2024.

Fresh from the announcement of ‘Shine’ — his must-listen, Rush Hour and Phonica Records-approved debut EP via Touching Bass — D'MONK rounds off the bill with a finely-tuned hybrid live performance that falls somewhere between the groove and duttiness of electro, soulful house, Detroit-influenced beatdown and UK sounds.


There's nowhere better to be.",,https://ra.co/events/1993369,1,7,"Two of Europe’s finest contemporary black-owned musical platforms — CARISTA’s United Identities (NL) and ERROL’s Touching Bass (UK) — link up for the first time at ADE 2024. Expect a full-blooded joyride equal parts gritty, unpredictable and soulful as the stars align at Radio Radio.

Beyond the founders, the roll call remains crazily good; from the sophisticated heat of NYC’s JADALAREIGN and Clone Records affiliate WRONGSAL to Touching Bass disciple SAMMSEED being joined by a much-loved, London-via-Amsterdam special guest (TBA) and longtime friend, as she tops off an impressive 2024.

Fresh from the announcement of ‘Shine’ — his must-listen, Rush Hour and Phonica Records-approved debut EP via Touching Bass — D'MONK rounds off the bill with a finely-tuned hybrid live performance that falls somewhere between the groove and duttiness of electro, soulful house, Detroit-influenced beatdown and UK sounds.

There's nowhere better to be.
",{},Funktion-One Resolution 2 with F118 Subs,Technics SL-1210 MK7 (x2) ,Pioneer CDJ-3000 (x2),Pioneer DJM-900NXS2 or Allen & Heath Xone:96,Pioneer RM-07 or Funktion-One PSM318,f,f,113
99,t,f,2025-06-06 16:52:58.291+00,2025-06-06 16:52:58.291+00,,0001-01-01 00:00:00+00,0001-01-01 00:00:00+00,Festival,,"Amsterdam Dance Event kicks off with a curated experience at A'DAM Toren, blending music, networking and innovation to launch ADE 2025.",,https://ra.co/events/2029506,10,20,"Amsterdam Dance Event kicks off with a curated experience at A'DAM Toren, blending music, networking and innovation to launch ADE 2025.",{},ADE x A'DAM Toren: Official Opening 2025,ADE x A'DAM Toren: Official Opening 2025,ADE x A'DAM Toren: Official Opening 2025,ADE x A'DAM Toren: Official Opening 2025,ADE x A'DAM Toren: Official Opening 2025,f,f,115
100,t,f,2025-06-09 08:31:17.876+00,2025-06-09 08:31:17.876+00,,0001-01-01 00:00:00+00,0001-01-01 00:00:00+00,Festival,,"Audio Obscura takes over BRET for an intimate, high-energy ADE night session featuring international techno artists.",,https://ra.co/events/1993365,4,8,"Audio Obscura takes over BRET for an intimate, high-energy ADE night session featuring international techno artists.",{},Audio Obscura x BRET - ADE 2025,Audio Obscura x BRET - ADE 2025,Audio Obscura x BRET - ADE 2025,Audio Obscura x BRET - ADE 2025,Audio Obscura x BRET - ADE 2025,f,f,116
101,t,f,2025-06-09 08:36:38.097+00,2025-06-09 08:36:38.097+00,,0001-01-01 00:00:00+00,0001-01-01 00:00:00+00,Festival,,"Close out your ADE with a transformative experience hosted by HABITAT. Established by Mind Against, HABITAT shares the belief same to dedicate itself to pioneering uncharted territories. The Italian duo is our long time friend with their Audio Obscura first show dating back to 2013.  This event features performances by Mind Against, WhoMadeWho (hybrid DJ set), Mathame, Mano Le Tough, Dyzen b2b Sideral and Eli Verveine. Immerse yourself in the innovative sounds and visionary performances that define the HABITAT ethos.  Join us as we dance and explore the intersection of music, art, and technology.",,https://ra.co/events/1974980,4,8,Audio Obscura returns to RAW Factory for a bold warehouse experience during ADE 2025 with cutting-edge techno acts.,{},Audio Obscura x RAW Factory - ADE 2025,Audio Obscura x RAW Factory - ADE 2025,Audio Obscura x RAW Factory - ADE 2025,Audio Obscura x RAW Factory - ADE 2025,Audio Obscura x RAW Factory - ADE 2025,f,f,117
103,t,f,2025-06-09 08:47:43.272+00,2025-06-09 08:47:43.272+00,,0001-01-01 00:00:00+00,0001-01-01 00:00:00+00,Festival,,"Ciranda returns to its home base Doka during ADE 2024, featuring an all-Amsterdam lineup with special guest Antal and host Mendel, promising an intimate evening of diverse musical styles.",,https://ra.co/events/1996753,4,8,"Antal & Mendel

Still filled with joy from our summer dance, we're now setting our sights on a cosy autumn. To say we're looking forward to our next Ciranda would be an understatement. We're returning to our dear home base Doka on Sunday October 20th, during Amsterdam Dance Event. We hope it’s a chance for our friends from abroad to join us this time for our beloved Sunday dance, on the final day of ADE. 

And what would be more fitting than an all-Amsterdam lineup for this evening? This edition's special guest is Antal, a true cornerstone of the Amsterdam musical landscape and has influenced Ciranda in many ways. Their broad interests and ability to mix various musical styles and moods are key ingredients of the Sunday gatherings. It will be special to have them play in this intimate setting at Ciranda, alongside our host Mendel. Two generations of Amsterdam’s eclectic selectors, who will surely take us on a beautiful flight. ",{},Ciranda x Doka Studio (ADE) w/ Antal & Mendel,Ciranda x Doka Studio (ADE) w/ Antal & Mendel,Ciranda x Doka Studio (ADE) w/ Antal & Mendel,Ciranda x Doka Studio (ADE) w/ Antal & Mendel,Ciranda x Doka Studio (ADE) w/ Antal & Mendel,f,f,119
104,t,f,2025-06-09 09:05:06.816+00,2025-06-09 09:05:06.816+00,,0001-01-01 00:00:00+00,0001-01-01 00:00:00+00,Festival,,"Percolator Pulse returns to ADE with a vibrant day-to-night party at SEXYLAND World, featuring a lineup of dynamic electronic artists.",,https://ra.co/events/2020054,4,8,"Percolator Pulse returns to ADE with a vibrant day-to-night party at SEXYLAND World, featuring a lineup of dynamic electronic artists.",{},Percolator Pulse,Percolator Pulse,Percolator Pulse,Percolator Pulse,Percolator Pulse,f,f,120
